brand_name,industry,times_advertised,linkedin_slug,domain,google_url
My Nutriplan,Nutrition,89,,,https://www.google.com/search?q=My%20Nutriplan%20official%20website%20Greece
Mpoulakis Projects,Automotive,88,,,https://www.google.com/search?q=Mpoulakis%20Projects%20official%20website%20Greece
Oreo,Food,88,,,https://www.google.com/search?q=Oreo%20official%20website%20Greece
John Stavrou Cosmetics,Beauty,88,,,https://www.google.com/search?q=John%20Stavrou%20Cosmetics%20official%20website%20Greece
illy,Coffee / Food & Beverage,88,,,https://www.google.com/search?q=illy%20official%20website%20Greece
Tom Ford,Beauty,88,tom-ford,,https://www.google.com/search?q=Tom%20Ford%20official%20website%20Greece
Soul Diet,Health,87,,,https://www.google.com/search?q=Soul%20Diet%20official%20website%20Greece
KFC,Fast Food,87,,,https://www.google.com/search?q=KFC%20official%20website%20Greece
Barilla,Food,86,,,https://www.google.com/search?q=Barilla%20official%20website%20Greece
VICKO,Home,86,,,https://www.google.com/search?q=VICKO%20official%20website%20Greece
BIODERMA,Beauty,86,bioderma,,https://www.google.com/search?q=BIODERMA%20official%20website%20Greece
MISKO,Food,86,,,https://www.google.com/search?q=MISKO%20official%20website%20Greece
TGI Fridays,Food,86,,,https://www.google.com/search?q=TGI%20Fridays%20official%20website%20Greece
Anda Seat,Furniture,86,,,https://www.google.com/search?q=Anda%20Seat%20official%20website%20Greece
Mercedes-Benz,Automotive,85,,,https://www.google.com/search?q=Mercedes-Benz%20official%20website%20Greece
Pescanova,Food,85,,,https://www.google.com/search?q=Pescanova%20official%20website%20Greece
Social Outkast,Fashion,85,,,https://www.google.com/search?q=Social%20Outkast%20official%20website%20Greece
Andrianna Geronti,Self-Improvement,85,,,https://www.google.com/search?q=Andrianna%20Geronti%20official%20website%20Greece
Madame Ginger,Lifestyle,85,,,https://www.google.com/search?q=Madame%20Ginger%20official%20website%20Greece
Men of Style,Lifestyle,84,,,https://www.google.com/search?q=Men%20of%20Style%20official%20website%20Greece
UGG,Fashion,84,,,https://www.google.com/search?q=UGG%20official%20website%20Greece
Notino,Beauty,83,notino,,https://www.google.com/search?q=Notino%20official%20website%20Greece
CityKEP,Business,83,,,https://www.google.com/search?q=CityKEP%20official%20website%20Greece
Pinko,Fashion,82,,,https://www.google.com/search?q=Pinko%20official%20website%20Greece
Makeup by Mario,Beauty,81,makeupbymario,,https://www.google.com/search?q=Makeup%20by%20Mario%20official%20website%20Greece
Nikos Nikolaidis,Beauty,81,,,https://www.google.com/search?q=Nikos%20Nikolaidis%20official%20website%20Greece
Organic Shop,Beauty,81,organic-shop,,https://www.google.com/search?q=Organic%20Shop%20official%20website%20Greece
GRIGI Make Up,Beauty,81,,,https://www.google.com/search?q=GRIGI%20Make%20Up%20official%20website%20Greece
IQOS,Tobacco,81,,,https://www.google.com/search?q=IQOS%20official%20website%20Greece
Premier League,Entertainment,81,,,https://www.google.com/search?q=Premier%20League%20official%20website%20Greece
Philadelphia,Dairy,80,,,https://www.google.com/search?q=Philadelphia%20official%20website%20Greece
